"word","meaning","pos","belong","pron_uk","pron_us"
"acre","acre","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acr/acre_/acre__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acre_/acre__us_1.ogg"
"across","across","adverb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acr/acros/across__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg"
"across","across","preposition","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acr/acros/across__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg"
"act","act","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/act__/act__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg"
"act","act","verb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/act__/act__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg"
"action","action","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/actio/action__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actio/action__us_2.ogg"
"activate","activate","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/activ/activate__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activate__us_1.ogg"
"activation","activation","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/activ/activation__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activation__us_1.ogg"
"active","active","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/activ/active__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/active__us_2.ogg"
"activist","activist","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/activ/activist__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activist__us_1.ogg"
"activity","activity","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/activ/activity__gb_5.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activity__us_4.ogg"
"actor","actor","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/actor/actor__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actor/actor__us_2.ogg"
"actress","actress","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/actre/actress__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actre/actress__us_2.ogg"
"actual","actual","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/actua/actual__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actual__us_1_rr.ogg"
"actually","actually","adverb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/act/actua/actually__gb_5.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actually__us_1_rr.ogg"
"acute","acute","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acu/acute/acute__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acu/acute/acute__us_1.ogg"
"ad","ad","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ad_/ad__g/ad__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ad_/ad__u/ad__us_2.ogg"
"adapt","adapt","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ada/adapt/adapt__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adapt__us_1.ogg"
"adaptation","adaptation","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ada/adapt/adaptation__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adaptation__us_1.ogg"
"add","add","verb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/add__/add__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/add__/add__us_2.ogg"
"addiction","addiction","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addic/addiction__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addic/addiction__us_1.ogg"
"addition","addition","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addit/addition__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/addition__us_2.ogg"
"additional","additional","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addit/additional__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additional__us_3.ogg"
"additionally","additionally","adverb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addit/additionally__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additionally__us_1.ogg"
"address","address","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addre/address__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg"
"address","address","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/add/addre/address__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg"
"adequate","adequate","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ade/adequ/adequate__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequate__us_1.ogg"
"adequately","adequately","adverb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ade/adequ/adequately__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequately__us_1.ogg"
"adhere","adhere","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adh/adher/adhere__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adh/adher/adhere__us_1.ogg"
"adjacent","adjacent","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adj/adjac/adjacent__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjac/adjacent__us_1.ogg"
"adjust","adjust","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adj/adjus/adjust__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjust__us_1.ogg"
"adjustment","adjustment","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adj/adjus/adjustment__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjustment__us_1.ogg"
"administer","administer","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admin/administer__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administer__us_1.ogg"
"administration","administration","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admin/administration__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administration__us_1.ogg"
"administrative","administrative","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admin/administrative__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrative__us_1_rr.ogg"
"administrator","administrator","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admin/administrator__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrator__us_1.ogg"
